team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object
7	1	1	-1	0.315	0.315	R	shows	observe gesture
7	1	1	-1	0.402	0.402	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
7	1	1	0	40.000	42.141	I	says	that is to record your voice
7	1	1	1	42.525	43.004	A	says	okay .
7	1	1	2	47.732	48.615	A	says	i am doing this .
7	1	1	-1	47.931	47.931	A	adds	Interlaken-Montreux (5-6)
7	1	1	3	50.372	51.540	A	says	can i see him playing ?
7	1	1	4	52.079	54.326	B	says	i do not understand how , it is not working .
7	1	1	-1	53.981	53.981	R	shows	thinking gesture
7	1	1	-1	53.998	53.998	R	says	hmm, i see.
7	1	1	5	55.779	56.737	R	says	i see .
7	1	1	-1	57.189	57.189	A	adds	Montreux-Neuchatel (6-7)
7	1	1	6	59.404	60.437	B	says	oh , okay .
7	1	1	7	63.538	65.994	A	says	i do not understand .
7	1	2	-1	65.317	65.317	B	adds	Zermatt-Montreux (4-6)
7	1	2	8	66.204	67.132	B	says	i understand .
7	1	2	-1	68.004	68.004	A	presses	submit (disabled)
7	1	2	9	68.403	69.661	B	says	what do i do now ?
7	1	2	10	71.714	72.864	A	says	bob ?
7	1	2	11	73.092	73.657	B	says	yeah ?
7	1	2	-1	73.275	73.275	B	removes	Interlaken-Montreux (5-6)
7	1	3	-1	74.640	74.640	A	removes	Zermatt-Montreux (4-6)
7	1	3	-1	78.558	78.558	A	adds	Zermatt-Montreux (4-6)
7	1	4	-1	83.450	83.450	B	adds	Luzern-Zermatt (1-4)
7	1	4	12	85.498	86.802	A	says	okay .
7	1	4	-1	85.674	85.674	A	presses	submit (disabled)
7	1	4	-1	85.726	85.726	B	adds	Luzern-Bern (1-3)
7	1	5	-1	91.368	91.368	A	adds	Interlaken-Montreux (5-6)
7	1	5	13	91.377	93.268	B	says	do you see what i am doing , or not ?
7	1	5	14	92.936	93.728	A	says	yeah i do .
7	1	5	15	94.264	95.491	A	says	then you see what i did ?
7	1	5	16	95.465	96.718	B	says	i can't see yours .
7	1	5	17	98.896	101.532	B	says	sometimes my screen turns like gray .
7	1	5	-1	100.878	100.878	A	adds	Basel-Neuchatel (0-7)
7	1	6	-1	102.979	102.979	A	presses	submit (disabled)
7	1	6	18	103.210	104.198	B	says	oh , there you go .
7	1	6	19	103.240	104.558	A	says	okay .
7	1	6	-1	106.049	106.049	B	adds	Basel-Bern (0-3)
7	1	6	20	109.650	111.148	B	says	i don't want the eraser .
7	1	6	-1	111.867	111.867	A	presses	help (enabled)
7	1	6	-1	114.697	114.697	B	removes	Interlaken-Montreux (5-6)
7	1	6	21	116.339	119.005	B	says	oh my god , this is so weird .
7	1	6	22	117.477	118.226	A	says	okay .
7	1	7	-1	119.313	119.313	A	adds	Basel-Zurich (0-2)
7	1	7	-1	125.075	125.075	A	adds	Zurich-Gallen (2-8)
7	1	7	23	126.584	132.545	A	says	why does it always show me like it is so annoying .
7	1	8	-1	128.165	128.165	B	adds	Interlaken-Montreux (5-6)
7	1	8	24	130.658	132.935	B	says	why does it turn gray sometimes ?
7	1	8	25	136.032	141.394	I	says	you can check the information check the information button on your screens read that
7	1	8	-1	137.660	137.660	B	adds	Luzern-Zurich (1-2)
7	1	9	-1	142.632	142.632	B	presses	help (enabled)
7	1	9	-1	142.751	142.751	A	adds	Gallen-Davos (8-9)
7	1	9	-1	143.347	143.347	R	shows	observe gesture
7	1	9	26	143.834	148.897	R	says	guys do not hesitate to submit your solutions
7	1	9	27	149.872	153.347	A	says	do you want to submit oh no , one sec .
7	1	9	-1	150.416	150.416	B	presses	help (enabled)
7	1	9	28	152.898	157.661	B	says	no no no , don't don't submit .
7	1	9	-1	153.760	153.760	A	adds	Zermatt-Davos (4-9)
7	1	10	-1	154.200	154.200	B	presses	help (enabled)
7	1	10	29	155.234	156.434	A	says	let let's not submit.
7	1	10	30	156.710	158.260	A	says	no , don't submit .
7	1	10	-1	158.319	158.319	A	presses	help (enabled)
7	1	10	-1	158.987	158.987	R	shows	thinking gesture
7	1	10	-1	158.998	158.998	R	says	hmm, i see.
7	1	10	-1	160.115	160.115	B	adds	Interlaken-Bern (5-3)
7	1	10	31	160.926	161.586	R	says	i see .
7	1	10	-1	162.475	162.475	B	adds	Luzern-Interlaken (1-5)
7	1	10	32	164.939	166.497	B	says	okay um
7	1	10	33	165.250	166.013	A	says	it's
7	1	11	-1	168.240	168.240	A	adds	Zurich-Davos (2-9)
7	1	11	-1	171.406	171.406	A	adds	Luzern-Davos (1-9)
7	1	11	34	174.723	176.790	A	says	no i can't have it , not yet .
7	1	11	35	176.910	177.539	B	says	what ?
7	1	12	-1	176.999	176.999	B	adds	Zermatt-Interlaken (4-5)
7	1	12	36	177.779	179.457	A	says	let's not do it , yet .
7	1	12	-1	178.810	178.810	B	adds	Interlaken-Neuchatel (5-7)
7	1	12	37	180.056	180.865	B	says	i think
7	1	12	38	181.224	183.351	B	says	do we need to connect it , to all places ?
7	1	12	39	183.021	184.669	A	says	we need to connect everything .
7	1	12	40	184.939	186.646	B	says	even to like the big buildings ?
7	1	12	41	187.425	190.750	A	says	no , you can't connect to the big buildings .
7	1	12	42	187.515	188.264	B	says	like the
7	1	12	43	189.822	193.866	B	says	oh we need to connect yeah we need to connect everything okay yeah i understand .
7	1	12	44	193.297	196.652	A	says	uh we didn't connect everything yet .
7	1	13	-1	194.268	194.268	A	adds	Zurich-Bern (2-3)
7	1	13	45	195.309	197.166	B	says	yeah we definitely didn't .
7	1	13	46	198.394	201.390	A	says	no we need to connect all the mountains .
7	1	13	47	200.671	202.199	B	says	how do i go back to do it ?
7	1	13	48	203.277	205.194	A	says	go back to do what ?
7	1	13	49	205.224	210.886	B	says	like to do it , to the trace , because right now my screen is like gray and it is not working .
7	1	13	50	209.538	211.126	A	says	okay so click two times .
7	1	13	51	211.216	211.875	B	says	what ?
7	1	13	52	211.815	213.942	A	says	click two ties on the board .
7	1	13	53	215.795	217.412	B	says	it's not working man .
7	1	13	54	217.742	220.348	A	says	i think we can , finish .
7	1	13	55	219.359	221.187	B	says	i don't understand .
7	1	13	56	223.344	225.620	A	says	just wait a moment .
7	1	13	57	227.538	228.316	A	says	okay .
7	1	13	58	228.954	230.872	B	says	yeah but for me it is not working .
7	1	13	-1	230.091	230.091	A	adds	Neuchatel-Bern (7-3)
7	1	13	59	231.532	233.118	A	says	it did so , look !
7	1	13	60	231.591	233.418	B	says	oh , oh yeah now it's working .
7	1	13	61	233.688	235.425	A	says	we do it now oh it's the uh yours .
7	1	13	62	236.234	238.541	A	says	okay oh we are doing one turn each .
7	1	13	63	238.960	240.937	B	says	yeah that is why i think we are doing but uh .
7	1	13	64	242.342	243.236	A	says	so
7	1	13	65	242.450	243.978	B	says	oh we connected everything !
7	1	13	66	244.188	244.776	A	says	no .
7	1	13	67	244.776	245.565	A	says	uh
7	1	13	68	244.846	245.356	B	says	yeah .
7	1	13	69	247.033	247.396	A	says	sure ?
7	1	13	70	248.291	249.699	B	says	yeah we connected everything .
7	1	13	71	249.610	251.347	A	says	i don't what uh let me see .
7	1	13	72	252.006	253.923	B	says	yeah exactly we connected everything .
7	1	13	73	254.642	257.818	A	says	uh okay let's go , three , two , one .
7	1	13	74	256.559	257.758	B	says	two , one .
7	1	14	-1	257.036	257.036	A	presses	submit (enabled)
7	1	14	-1	257.134	257.134	T	submits	cost=64 (opt_cost=22)
7	1	14	-1	257.415	257.415	B	presses	submit (enabled)
7	1	14	-1	257.820	257.820	R	shows	up_left gesture
7	1	14	-1	257.822	257.822	R	shows	talking emotion
7	1	14	-1	257.896	257.896	R	says	you are away from the minimum by 42 francs. let's try again.
7	1	14	75	258.253	274.220	R	says	you are away from the minimum by 42 francs let's try again by the way you guys also now have a button in the bottom of your screen for comparing solutions
7	1	14	76	262.200	264.058	B	says	that is not a lot .
7	1	14	-1	264.468	264.468	R	shows	talking emotion
7	1	14	-1	264.470	264.470	R	shows	point_front gesture
7	1	14	-1	264.555	264.555	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
7	1	14	77	276.879	278.766	B	says	alright .
7	1	14	78	277.628	279.605	A	says	alright .
7	2	14	-1	277.949	277.949	B	adds	Luzern-Bern (1-3)
7	2	14	-1	278.582	278.582	A	presses	compare (enabled)
7	2	14	-1	279.324	279.324	B	adds	Luzern-Interlaken (1-5)
7	2	14	79	280.126	281.834	B	says	now it's your turn .
7	2	14	80	282.253	283.421	A	says	it's my turn .
7	2	15	-1	283.960	283.960	A	adds	Interlaken-Neuchatel (5-7)
7	2	15	81	284.590	288.574	B	says	so we have to connect them in a way or we have to connect two of them together ?
7	2	15	-1	285.544	285.544	A	adds	Zermatt-Interlaken (4-5)
7	2	15	82	288.394	289.802	A	says	we have to connect all .
7	2	16	-1	288.889	288.889	A	presses	apply (enabled)
7	2	16	-1	288.899	288.899	A	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
7	2	16	83	289.173	289.742	B	says	so .
7	2	16	84	291.300	292.349	B	says	wait what the heck ?
7	2	16	-1	292.125	292.125	A	presses	compare (enabled)
7	2	16	85	293.667	294.865	B	says	wait what ?
7	2	16	86	295.194	298.948	A	says	oh here okay four , five , three two four .
7	2	16	87	299.008	300.895	B	says	okay neither just all connected .
7	2	16	-1	301.350	301.350	B	removes	Luzern-Davos (1-9)
7	2	16	88	301.734	302.356	A	says	what ?
7	2	16	-1	302.287	302.287	B	removes	Zurich-Davos (2-9)
7	2	16	89	303.352	306.707	B	says	i don't know what just happened , neither just all connected now .
7	2	17	-1	305.820	305.820	A	adds	Luzern-Davos (1-9)
7	2	17	90	307.036	309.403	A	says	yeah , one sec .
7	2	17	-1	308.749	308.749	B	presses	compare (enabled)
7	2	17	91	309.695	311.372	A	says	they didn't all .
7	2	17	-1	310.465	310.465	B	presses	apply (enabled)
7	2	17	-1	310.475	310.475	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
7	2	17	-1	311.089	311.089	B	presses	apply (enabled)
7	2	17	-1	311.215	311.215	B	presses	apply (enabled)
7	2	17	-1	311.432	311.432	B	presses	apply (enabled)
7	2	17	92	312.271	314.488	A	says	what , a heck .
7	2	17	93	312.331	314.488	B	says	this is all weird there's a
7	2	17	94	315.626	316.705	B	says	it's glitching .
7	2	17	95	317.903	320.210	A	says	everything connected .
7	2	17	96	318.981	320.479	B	says	is it glitching or something ?
7	2	17	97	321.496	323.324	A	says	i can't do anything .
7	2	17	98	323.354	325.570	B	says	they are all connected like that uh .
7	2	17	99	331.532	332.281	A	says	oh my god .
7	2	17	100	332.970	334.797	B	says	you need to do all connected .
7	2	17	101	334.827	336.684	A	says	yeah did all i'll still check .
7	2	17	-1	336.476	336.476	A	presses	submit (enabled)
7	2	17	102	336.535	339.440	B	says	okay there is the check i don't know three two one .
7	2	17	-1	339.102	339.102	T	submits	cost=64 (opt_cost=22)
7	2	17	103	339.231	340.728	A	says	waiting for your friend .
7	2	17	-1	339.365	339.365	B	presses	submit (enabled)
7	2	17	-1	339.622	339.622	R	shows	talking emotion
7	2	17	-1	339.624	339.624	R	shows	up_left gesture
7	2	17	-1	339.704	339.704	R	says	you are away from the minimum by 42 francs. let's try again.
7	2	17	104	340.274	346.205	R	says	you are away from the minimum by 42 francs let's try again
7	2	17	105	344.222	345.960	B	says	that's weird .
7	2	17	106	346.379	347.697	A	says	okay let's erase everything .
7	2	17	107	347.577	348.955	B	says	okay yeah let's just
7	2	17	108	349.075	353.599	A	says	you are going to do a lot , you just need to connect all of them .
7	2	17	109	354.317	355.935	B	says	yeah exacly , so
7	3	17	-1	355.730	355.730	A	adds	Zermatt-Montreux (4-6)
7	3	17	110	356.864	358.481	A	says	so
7	3	17	111	357.433	358.631	B	says	oh i understand .
7	3	17	-1	357.669	357.669	A	adds	Interlaken-Montreux (5-6)
7	3	17	112	359.086	362.591	A	says	you don't do a lot of money .
7	3	17	113	360.673	362.572	B	says	i know i know i understand i understand .
7	3	18	-1	360.849	360.849	B	adds	Interlaken-Neuchatel (5-7)
7	3	18	-1	362.510	362.510	B	adds	Basel-Neuchatel (0-7)
7	3	18	114	362.920	363.759	B	says	so don't
7	3	18	115	364.688	368.548	B	says	exact exact , you go like that yeah , and then , yeah .
7	3	18	116	364.897	365.706	A	says	use
7	3	19	-1	365.736	365.736	A	adds	Basel-Bern (0-3)
7	3	19	117	366.156	368.582	A	says	a lot of money
7	3	19	-1	366.990	366.990	A	adds	Zurich-Bern (2-3)
7	3	19	118	369.244	369.900	B	says	okay yeah .
7	3	19	119	369.810	371.188	A	says	okay your turn .
7	3	20	-1	370.399	370.399	B	adds	Luzern-Zurich (1-2)
7	3	20	120	372.476	373.345	A	says	now go over there .
7	3	20	121	373.555	374.933	B	says	yeah here ?
7	3	20	-1	374.101	374.101	B	adds	Zurich-Gallen (2-8)
7	3	20	122	374.124	376.491	A	says	go go
7	3	20	123	375.232	376.356	B	says	can not you go down ?
7	3	20	124	377.000	380.597	B	says	go , from uh where i did yeah and then uh on the left .
7	3	21	-1	377.483	377.483	A	adds	Gallen-Davos (8-9)
7	3	21	-1	379.492	379.492	A	adds	Zermatt-Davos (4-9)
7	3	21	125	380.597	381.663	B	says	yeah there we go .
7	3	21	126	382.328	382.916	B	says	okay now .
7	3	21	127	382.456	383.094	A	says	finished .
7	3	21	128	383.146	383.657	B	says	check .
7	3	22	-1	383.242	383.242	A	presses	submit (enabled)
7	3	22	-1	384.088	384.088	T	submits	cost=29 (opt_cost=22)
7	3	22	-1	384.382	384.382	B	presses	submit (enabled)
7	3	22	129	384.577	386.647	A	says	waiting for
7	3	22	-1	384.637	384.637	R	shows	talking emotion
7	3	22	-1	384.642	384.642	R	shows	up_left gesture
7	3	22	130	384.684	393.611	R	says	you are not that far from the minimum the difference is only 7 francs i'm sure you can do it
7	3	22	-1	384.740	384.740	R	says	you are not that far from the minimum; the difference is only 7 francs. i am sure you can do it.
7	3	22	131	390.353	390.762	B	says	oh .
7	3	22	132	394.411	395.740	A	says	okay , let's go .
7	3	22	133	394.973	396.711	B	says	let's try again , i'll try .
7	3	22	134	396.046	398.807	A	says	okay um just do the contour , yeah .
7	4	22	-1	397.215	397.215	B	adds	Zermatt-Montreux (4-6)
7	4	22	-1	398.815	398.815	B	adds	Montreux-Neuchatel (6-7)
7	4	22	135	399.497	401.030	B	says	yeah okay .
7	4	22	136	401.797	403.381	A	says	i know , why .
7	4	23	-1	405.283	405.283	A	adds	Zermatt-Davos (4-9)
7	4	23	137	407.156	408.258	B	says	yeah but
7	4	23	-1	408.042	408.042	A	adds	Gallen-Davos (8-9)
7	4	23	138	409.600	412.163	A	says	don't go in the middle just go outside .
7	4	24	-1	411.915	411.915	B	adds	Zurich-Gallen (2-8)
7	4	24	-1	414.290	414.290	B	adds	Basel-Neuchatel (0-7)
7	4	24	139	414.619	416.248	B	says	okay .
7	4	24	140	416.559	417.997	A	says	yeah .
7	4	25	-1	416.922	416.922	A	adds	Basel-Zurich (0-2)
7	4	25	141	418.787	419.842	A	says	now let's
7	4	25	142	418.931	420.992	B	says	but how do we connect the middles now ?
7	4	25	143	421.351	422.860	A	says	now , we , do this .
7	4	25	-1	422.259	422.259	A	adds	Luzern-Zurich (1-2)
7	4	25	144	423.411	425.394	A	says	do the line in the middle .
7	4	25	145	425.376	428.011	B	says	i can't do a line now i just have the eraser .
7	4	25	146	428.299	428.754	B	says	tap tap)
7	4	25	147	429.562	431.072	B	says	how do i take off the eraser ?
7	4	25	148	431.838	432.701	A	says	just do
7	4	25	149	433.156	433.755	A	says	track .
7	4	25	150	436.007	437.133	B	says	i can't do a track .
7	4	26	-1	437.149	437.149	B	removes	Luzern-Zurich (1-2)
7	4	26	151	437.372	437.875	B	says	i can't .
7	4	26	152	438.091	438.882	B	says	the eraser
7	4	26	153	439.385	440.822	A	says	no don't erase it !
7	4	26	154	440.660	443.224	B	says	i , i didn't , the eraser , i can't .
7	4	26	155	443.368	444.607	B	says	can't the track thingy .
7	4	26	156	444.691	445.242	B	says	oh there we go .
7	4	26	-1	445.296	445.296	B	adds	Basel-Bern (0-3)
7	4	26	157	446.692	447.159	B	says	alright .
7	4	26	158	446.996	448.284	A	says	no , why did you do this !
7	4	26	159	448.429	449.135	B	says	because
7	4	26	160	449.830	451.740	A	says	we are wasting money .
7	4	26	161	450.609	453.076	B	says	this is fine , no we are not wasting money .
7	4	26	162	453.800	454.207	A	says	we did .
7	4	27	-1	454.139	454.139	A	adds	Zurich-Bern (2-3)
7	4	27	163	455.489	456.363	A	says	waste money .
7	4	27	164	457.425	458.491	B	says	wasting money .
7	4	27	-1	457.703	457.703	A	adds	Interlaken-Bern (5-3)
7	4	28	-1	458.978	458.978	R	shows	observe gesture
7	4	28	165	459.078	460.671	B	says	why do you connect , oh my god !
7	4	28	166	461.234	461.737	B	says	ann .
7	4	28	-1	462.265	462.265	B	removes	Zurich-Bern (2-3)
7	4	28	167	462.643	463.601	A	says	connect
7	4	28	168	462.645	463.855	B	says	erase that .
7	4	28	169	464.358	465.496	B	says	and then do this .
7	4	28	-1	464.574	464.574	B	adds	Luzern-Zurich (1-2)
7	4	28	170	466.143	466.622	B	says	really ?
7	4	28	171	467.164	468.721	A	says	no , look look .
7	4	28	172	467.523	472.530	B	says	there we go , yes , because that's would have just added one when you can just go like that .
7	4	28	173	472.854	474.012	B	says	okay press submit now .
7	4	28	174	473.908	475.333	A	says	how do you erase things ?
7	4	28	175	475.597	476.280	B	says	alright just put .
7	4	28	176	476.531	477.202	B	says	just check .
7	4	29	-1	476.781	476.781	B	presses	submit (enabled)
7	4	29	177	477.732	480.175	A	says	but just how do you erase things ?
7	4	29	178	479.852	480.822	B	says	just check .
7	4	29	179	481.157	483.230	A	says	no i want to erase .
7	4	29	180	482.679	483.338	B	says	just check .
7	4	29	181	483.565	484.416	A	says	something
7	4	29	182	484.116	484.991	B	says	just check .
7	4	29	183	487.528	490.235	A	says	you , okay , you're gonna see it's not correct .
7	4	29	-1	487.914	487.914	A	presses	submit (enabled)
7	4	29	-1	487.975	487.975	T	submits	cost=30 (opt_cost=22)
7	4	29	-1	488.522	488.522	R	shows	talking emotion
7	4	29	-1	488.528	488.528	R	shows	up_left gesture
7	4	29	-1	488.616	488.616	R	says	you are not that far from the minimum; the difference is only 8 francs. i am sure you can do it.
7	4	29	184	489.527	497.795	R	says	you are not that far from the minimum the difference is only 8 francs i'm sure you can do it
7	4	29	185	490.954	491.541	A	says	told you .
7	4	29	186	494.104	495.204	B	says	oh that was more .
7	4	29	187	496.546	497.791	B	says	it was a bad idea .
7	4	29	188	498.613	500.123	A	says	let's do the outside okay .
7	4	29	189	500.099	501.800	B	says	okay no that's better because
7	5	29	-1	501.269	501.269	A	adds	Zermatt-Montreux (4-6)
7	5	29	-1	502.616	502.616	A	adds	Montreux-Neuchatel (6-7)
7	5	29	190	504.020	506.092	B	says	we got 1 franc less this time that was good .
7	5	30	-1	506.598	506.598	B	adds	Luzern-Zermatt (1-4)
7	5	30	191	507.844	508.156	A	says	no !
7	5	30	-1	508.591	508.591	B	adds	Luzern-Davos (1-9)
7	5	30	192	508.684	510.684	B	says	yes , okay i am telling you it is gonna work .
7	5	30	193	510.899	512.636	B	says	okay , i am telling you .
7	5	30	194	513.642	514.277	A	says	oh yeah .
7	5	31	-1	514.294	514.294	A	adds	Gallen-Davos (8-9)
7	5	31	195	515.451	516.157	B	says	you're gonna see .
7	5	31	-1	519.356	519.356	A	adds	Zurich-Gallen (2-8)
7	5	32	-1	523.581	523.581	B	adds	Basel-Zurich (0-2)
7	5	32	-1	526.525	526.525	B	adds	Basel-Bern (0-3)
7	5	32	196	528.481	529.488	B	says	you're gonna see why .
7	5	33	-1	529.444	529.444	A	adds	Interlaken-Bern (5-3)
7	5	33	-1	530.893	530.893	A	adds	Interlaken-Neuchatel (5-7)
7	5	33	197	531.057	531.428	B	says	yeah .
7	5	33	198	531.596	532.123	B	says	i don't know .
7	5	33	199	532.446	532.746	B	says	no !
7	5	34	-1	534.716	534.716	B	removes	Interlaken-Neuchatel (5-7)
7	5	34	-1	537.725	537.725	B	adds	Basel-Neuchatel (0-7)
7	5	34	200	540.415	541.361	A	says	how do you erase ?
7	5	34	201	542.487	544.296	B	says	because you can just go like that .
7	5	35	-1	544.781	544.781	B	presses	submit (enabled)
7	5	35	202	546.588	548.985	B	says	check
7	5	35	203	551.824	552.914	A	says	how do you erase ?
7	5	35	204	552.676	553.404	B	says	oh you go .
7	5	35	205	553.980	554.836	B	says	on it and you go .
7	5	35	206	555.602	557.842	B	says	and you just like , press like that you just .
7	5	35	207	558.141	560.309	A	says	and the mountain or the track.
7	5	35	208	559.564	562.828	B	says	i don't know you just come straight on it because when you do long
7	5	35	209	563.374	565.985	B	says	i can't do something until i erase it .
7	5	35	-1	566.339	566.339	A	presses	submit (enabled)
7	5	35	210	566.440	567.626	B	says	so just press check .
7	5	35	-1	566.531	566.531	T	submits	cost=31 (opt_cost=22)
7	5	35	-1	567.075	567.075	R	shows	up_left gesture
7	5	35	-1	567.075	567.075	R	shows	talking emotion
7	5	35	-1	567.169	567.169	R	says	you are away from the minimum by 9 francs. let's try again.
7	5	35	211	567.530	572.922	R	says	you are away from the minimum by 9 francs let's try again
7	5	35	212	570.964	572.130	B	says	that's bad , that's good .
7	5	35	-1	573.437	573.437	R	shows	up_right gesture
7	5	35	-1	573.437	573.437	R	shows	talking emotion
7	5	35	-1	573.488	573.488	R	says	hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
7	5	35	213	573.820	580.740	R	says	hey guys maybe it would be easier to solve the problem if you
7	5	35	214	573.963	575.245	B	says	i don't know .
7	5	35	215	575.278	578.405	I	says	you are away from the minimum by 9 francs so it is bad
7	5	35	216	578.836	579.399	A	says	oh .
7	5	35	-1	578.976	578.976	R	shows	thinking gesture
7	5	35	-1	579.023	579.023	R	says	hmm, i see.
7	5	35	217	579.219	580.884	I	says	you have to reduce it
