Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	s t gallen and i think we	268	32	1	B	237, 268
3	3	5	mount basel to mount zurich	404	311	1	A	117, 404, 427
2	2	5	, s t gallen .	371	195	1	A	177, 371
2	2	5	i 'm gon na try	117	5	1	B	113, 117
2	2	5	mount neuchatel to mount interlaken	311	2	1	A	310, 311
5	3	4	i 'm gon na	320	260	1	B	113, 117, 320, 364, 372
5	3	4	s t gallen .	177	330	2	B	42, 73, 177, 321, 371
5	5	4	to mount zurich .	218	311	1	A	117, 218, 372, 414, 427
4	1	4	mount basel to mount	189	311	1	A	117, 189, 404, 427
4	4	4	to mount davos .	209	383	1	A	18, 209, 266, 400
3	1	4	s t gallen and	268	200	2	B	69, 237, 268
2	2	4	, mount luzern to	245	28	1	B	218, 245
2	2	4	, no , we	427	51	1	B	377, 427
2	2	4	click and drag to	29	2	1	A	28, 29
2	2	4	gallen to mount davos	275	267	1	A	9, 275
2	2	4	let 's go to	310	32	1	B	279, 310
2	2	4	maybe to mount basel	277	92	1	B	186, 277
2	2	4	mount zurich to mount	73	6	1	A	68, 73
2	2	4	yeah , and then	236	8	1	B	229, 236
12	4	3	s t gallen	177	330	4	B	42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371
9	3	3	to mount davos	160	392	2	A	9, 18, 160, 209, 265, 266, 275, 320, 400
7	7	3	go to mount	315	256	2	A	117, 310, 315, 319, 320, 335, 372
7	7	3	let 's try	411	270	6	B	142, 148, 174, 270, 275, 406, 411
7	7	3	mount s t	42	306	1	A	16, 42, 69, 73, 179, 275, 321
7	1	3	to mount zurich	275	311	1	A	117, 218, 275, 372, 404, 414, 427
6	4	3	mount luzern to	245	135	4	B	112, 197, 218, 222, 245, 246
6	6	3	mount zermatt to	201	312	1	B	106, 201, 204, 206, 266, 417
6	1	3	mount zurich .	218	311	2	A	117, 122, 218, 372, 414, 427
6	4	3	to mount basel	186	238	2	A	117, 156, 186, 277, 327, 354
6	6	3	to mount bern	184	244	1	B	112, 184, 194, 224, 325, 355
5	1	3	basel to mount	120	311	1	A	117, 120, 189, 404, 427
5	3	3	let 's go	310	180	2	B	218, 279, 310, 311, 397
5	3	3	maybe to mount	186	113	2	A	165, 184, 186, 194, 277
5	1	3	mount basel to	229	311	1	A	117, 189, 229, 404, 427
5	1	3	mount davos .	296	383	1	A	18, 209, 266, 296, 400
5	5	3	to mount luzern	199	191	1	B	145, 199, 206, 319, 335
5	5	3	to mount zermatt	261	97	1	A	201, 261, 280, 281, 297
4	4	3	mount bern .	325	165	2	A	194, 224, 325, 358
4	4	3	to mount neuchatel	288	191	2	B	120, 189, 288, 310
3	1	3	, and then	328	100	1	B	229, 236, 328
3	1	3	, mount luzern	319	102	1	B	218, 245, 319
3	2	3	gallen to mount	179	267	1	A	9, 179, 275
3	1	3	i think we	237	130	1	A	139, 237, 268
3	3	3	mount luzern .	242	44	2	A	199, 204, 242
3	3	3	mount zermatt .	261	53	1	A	245, 261, 297
3	1	3	neuchatel to mount	413	104	1	A	310, 311, 413
3	1	3	to mount interlaken	346	37	1	A	310, 311, 346
3	1	3	zurich to mount	400	333	1	A	68, 73, 400
2	2	3	, neuchatel .	286	58	1	B	229, 286
2	2	3	, to mount	346	148	1	A	199, 346
2	2	3	i know .	339	289	1	B	51, 339
2	2	3	i think you	168	7	1	A	162, 168
2	2	3	maybe it 's	279	137	1	A	143, 279
2	2	3	mount bern ?	184	88	1	B	97, 184
2	2	3	now let 's	311	7	1	A	305, 311
2	2	3	should we submit	169	99	1	A	71, 169
2	2	3	to uh mount	261	58	1	A	204, 261
2	2	3	we can submit	168	30	1	A	139, 168
59	12	2	to mount	69	419	3	A	9, 18, 68, 69, 73, 112, 117, 120, 145, 153, 156, 160, 165, 179, 184, 186, 189, 194, 196, 199, 201, 206, 209, 218, 222, 224, 236, 261, 265, 266, 267, 275, 277, 280, 281, 286, 288, 297, 310, 311, 312, 315, 319, 320, 321, 325, 327, 335, 346, 354, 355, 372, 373, 379, 400, 404, 413, 414, 427
32	32	2	okay .	1	429	1	B	0, 1, 19, 40, 44, 55, 56, 65, 67, 70, 92, 127, 136, 148, 158, 161, 178, 187, 191, 211, 230, 232, 284, 287, 291, 306, 322, 352, 396, 415, 418, 428
25	25	2	yeah .	17	421	1	A	3, 17, 50, 80, 110, 124, 126, 133, 135, 149, 159, 190, 198, 208, 215, 251, 269, 313, 326, 336, 345, 348, 376, 393, 423
20	7	2	let 's	129	323	1	A	89, 129, 140, 142, 148, 168, 174, 188, 218, 231, 270, 275, 279, 305, 309, 310, 311, 397, 406, 411
16	6	2	mount davos	69	392	2	A	9, 18, 69, 160, 176, 209, 235, 265, 266, 275, 294, 295, 296, 297, 320, 400
16	5	2	mount zermatt	175	312	1	B	106, 175, 201, 204, 205, 206, 227, 234, 245, 261, 266, 274, 280, 281, 297, 417
15	13	2	it 's	143	404	3	B	23, 45, 55, 143, 173, 200, 203, 205, 279, 300, 389, 404, 410, 425, 426
14	6	2	go to	261	273	3	A	100, 117, 130, 261, 279, 310, 315, 319, 320, 335, 365, 370, 371, 372
14	4	2	mount basel	119	311	1	A	117, 119, 156, 157, 186, 189, 227, 229, 250, 277, 327, 354, 404, 427
14	2	2	mount luzern	210	224	3	B	112, 145, 197, 199, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335
14	1	2	s t	382	367	1	A	16, 42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371, 382
12	9	2	and then	236	287	6	B	69, 155, 168, 179, 229, 231, 236, 246, 275, 293, 328, 355
11	4	2	mount bern	184	262	3	B	97, 112, 115, 184, 185, 194, 224, 227, 325, 355, 358
11	1	2	mount zurich	278	360	1	A	68, 73, 117, 122, 218, 275, 278, 372, 404, 414, 427
11	11	2	submit .	139	356	2	B	75, 85, 139, 170, 171, 240, 305, 307, 360, 429, 430
10	8	2	, mount	175	275	1	B	73, 175, 177, 218, 231, 245, 275, 319, 331, 347
10	5	2	i 'm	117	358	5	B	15, 69, 84, 86, 113, 117, 153, 320, 364, 372
10	5	2	i think	168	404	3	A	22, 139, 162, 168, 183, 237, 268, 278, 334, 425
10	10	2	that 's	213	338	2	B	88, 164, 213, 280, 287, 314, 316, 401, 409, 425
10	4	2	zurich .	123	311	3	A	117, 121, 122, 123, 180, 183, 218, 372, 414, 427
9	9	2	do n't	212	191	7	B	39, 72, 73, 75, 116, 164, 190, 212, 229
9	9	2	to ,	177	252	1	B	176, 177, 195, 229, 245, 286, 347, 371, 427
9	6	2	zermatt .	261	268	3	A	102, 104, 245, 261, 262, 263, 297, 338, 369
8	4	2	bern .	167	261	2	B	98, 154, 167, 194, 224, 247, 325, 358
8	3	2	gon na	117	298	2	B	84, 113, 117, 316, 320, 364, 372, 381
8	5	2	luzern .	182	228	2	B	108, 109, 182, 199, 201, 204, 242, 335
8	8	2	we 're	268	252	1	B	141, 268, 280, 308, 327, 329, 357, 392
7	7	2	here .	152	286	2	B	66, 79, 152, 311, 332, 333, 351
7	2	2	maybe to	210	113	2	A	165, 184, 186, 194, 210, 257, 277
7	1	2	zermatt to	201	312	2	B	106, 145, 201, 204, 206, 266, 417
6	6	2	, now	286	293	2	B	114, 186, 286, 311, 371, 406
6	1	2	gallen .	383	342	2	B	42, 73, 177, 321, 371, 383
6	3	2	mount interlaken	310	249	3	B	98, 227, 261, 310, 311, 346
6	1	2	mount neuchatel	288	192	3	B	120, 189, 231, 288, 310, 311
6	4	2	neuchatel .	254	171	2	B	120, 229, 254, 255, 286, 290
6	6	2	wait .	362	355	4	B	48, 84, 202, 349, 362, 402
6	6	2	we 've	296	356	3	B	38, 217, 242, 296, 308, 393
5	5	2	, here	283	285	2	B	79, 279, 283, 309, 363
5	3	2	, we	217	350	1	A	78, 217, 242, 377, 427
5	3	2	no ,	300	207	1	B	221, 300, 377, 401, 427
5	3	2	yeah ,	236	211	2	B	183, 229, 236, 355, 393
4	1	2	, and	236	140	2	B	189, 229, 236, 328
4	2	2	, no	377	128	1	A	300, 377, 393, 427
4	4	2	basel .	374	189	3	B	186, 250, 354, 374
4	4	2	ca n't	416	220	2	B	200, 203, 416, 419
4	4	2	do mount	112	170	1	A	7, 112, 119, 176
4	1	2	neuchatel to	310	225	1	B	189, 310, 311, 413
4	4	2	no .	299	228	1	B	163, 299, 356, 390
4	4	2	try .	239	325	1	A	87, 239, 368, 411
3	1	2	, to	235	148	1	A	199, 235, 346
3	3	2	again ?	272	261	2	B	12, 20, 272
3	1	2	bern ?	184	90	2	B	95, 97, 184
3	3	2	do it	217	378	1	A	33, 217, 410
3	3	2	have to	293	247	1	A	58, 293, 304
3	3	2	i 'll	183	317	1	A	87, 183, 403
3	1	2	know .	339	289	2	B	51, 116, 339
3	3	2	mount montreux	312	155	1	B	190, 312, 344
3	3	2	now ,	114	349	1	A	58, 114, 406
3	3	2	now i	320	234	1	A	139, 320, 372
3	3	2	or mount	122	130	1	B	98, 122, 227
3	1	2	should we	105	99	1	A	71, 105, 169
3	3	2	submit ?	168	144	1	A	71, 168, 214
3	3	2	that .	403	291	2	B	113, 275, 403
3	3	2	then mount	267	89	2	B	179, 229, 267
3	3	2	view .	53	19	1	B	36, 53, 54
3	1	2	we can	217	79	1	A	139, 168, 217
3	3	2	zermatt ?	175	274	1	B	8, 175, 281
2	2	2	, you	168	111	1	A	58, 168
2	2	2	3 francs	394	2	1	B	393, 394
2	2	2	because ,	300	23	1	B	278, 300
2	2	2	do the	304	208	1	B	97, 304
2	2	2	how much	407	90	1	A	318, 407
2	2	2	maybe mount	227	160	1	A	68, 227
2	2	2	n't .	416	378	1	B	39, 416
2	2	2	no mount	344	110	1	B	235, 344
2	2	2	now ?	288	120	1	B	169, 288
2	2	2	oh .	282	257	1	B	26, 282
2	2	2	the one	401	350	1	A	52, 401
2	2	2	the tracks	162	143	1	B	20, 162
2	2	2	then ,	359	85	1	B	275, 359
2	2	2	then we	327	35	1	B	293, 327
2	2	2	to no	235	26	1	A	210, 235
2	2	2	um mount	210	5	1	B	206, 210
2	2	2	we were	394	18	1	B	377, 394
2	2	2	you do	212	45	1	B	168, 212
114	19	1	mount	7	422	1	B	6, 7, 9, 13, 16, 18, 29, 42, 68, 69, 73, 97, 98, 106, 107, 112, 115, 117, 119, 120, 122, 131, 144, 145, 153, 156, 157, 160, 165, 175, 176, 177, 179, 184, 185, 186, 189, 190, 194, 196, 197, 199, 201, 204, 205, 206, 207, 209, 210, 218, 222, 224, 227, 229, 231, 234, 235, 236, 242, 245, 246, 249, 250, 253, 261, 265, 266, 267, 274, 275, 277, 278, 280, 281, 286, 288, 294, 295, 296, 297, 310, 311, 312, 315, 319, 320, 321, 325, 327, 331, 335, 342, 344, 346, 347, 354, 355, 356, 358, 372, 373, 375, 378, 379, 398, 399, 400, 404, 412, 413, 414, 417, 418, 427
106	24	1	to	15	419	1	A	9, 15, 18, 28, 29, 30, 33, 43, 58, 68, 69, 73, 90, 98, 100, 101, 106, 112, 115, 117, 120, 130, 138, 145, 152, 153, 156, 160, 162, 165, 176, 177, 179, 184, 186, 189, 190, 193, 194, 195, 196, 197, 199, 201, 204, 206, 209, 210, 218, 222, 224, 229, 235, 236, 245, 246, 247, 248, 252, 257, 261, 265, 266, 267, 275, 276, 277, 279, 280, 281, 286, 288, 293, 297, 304, 310, 311, 312, 315, 319, 320, 321, 325, 327, 335, 337, 338, 340, 346, 347, 354, 355, 365, 369, 370, 371, 372, 373, 379, 400, 404, 407, 413, 414, 417, 427
69	37	1	okay	15	429	1	B	0, 1, 15, 19, 24, 29, 38, 40, 44, 55, 56, 65, 67, 70, 79, 84, 92, 105, 111, 114, 119, 127, 136, 140, 148, 153, 158, 161, 168, 171, 178, 186, 187, 191, 195, 211, 218, 220, 225, 230, 232, 239, 240, 246, 256, 273, 275, 284, 287, 291, 302, 306, 309, 311, 319, 320, 322, 341, 352, 356, 363, 366, 385, 395, 396, 406, 415, 418, 428
50	21	1	yeah	40	423	1	A	3, 17, 40, 50, 51, 55, 69, 80, 110, 118, 124, 126, 133, 135, 140, 149, 157, 159, 170, 183, 185, 190, 198, 205, 208, 215, 229, 236, 238, 246, 251, 255, 259, 269, 291, 297, 306, 313, 326, 336, 345, 348, 355, 358, 370, 376, 393, 404, 423, 425
47	26	1	i	22	416	2	B	15, 17, 22, 46, 48, 51, 55, 64, 69, 72, 73, 76, 82, 84, 86, 87, 94, 113, 116, 117, 119, 128, 139, 153, 162, 164, 168, 171, 183, 190, 200, 203, 205, 221, 229, 237, 268, 278, 320, 334, 339, 364, 372, 401, 403, 425, 430
45	2	1	's	89	404	5	B	23, 36, 45, 55, 88, 89, 129, 140, 142, 143, 148, 164, 168, 173, 174, 188, 200, 203, 205, 210, 213, 218, 231, 270, 275, 279, 280, 287, 300, 305, 309, 310, 311, 314, 316, 389, 397, 401, 404, 406, 409, 410, 411, 425, 426
37	22	1	it	33	412	4	B	15, 17, 23, 24, 33, 45, 55, 64, 72, 73, 76, 78, 82, 143, 172, 173, 185, 190, 200, 203, 205, 217, 229, 237, 270, 278, 279, 300, 311, 317, 388, 389, 404, 410, 422, 425, 426
35	12	1	we	38	421	1	A	7, 38, 39, 40, 71, 72, 78, 105, 139, 141, 168, 169, 175, 217, 237, 242, 268, 280, 293, 296, 304, 308, 327, 329, 351, 357, 366, 368, 377, 389, 392, 393, 394, 420, 427
32	14	1	do	7	406	1	B	5, 7, 20, 33, 39, 40, 46, 58, 72, 73, 75, 94, 97, 105, 112, 116, 119, 129, 164, 168, 176, 188, 190, 205, 212, 217, 229, 231, 245, 297, 304, 410
30	18	1	then	130	291	2	B	69, 129, 130, 150, 155, 168, 179, 229, 231, 236, 246, 248, 252, 265, 267, 275, 276, 280, 281, 286, 292, 293, 300, 301, 302, 327, 328, 340, 355, 359
28	11	1	and	30	381	1	A	28, 29, 30, 34, 43, 69, 84, 117, 155, 165, 168, 179, 189, 212, 229, 231, 236, 237, 246, 268, 275, 278, 293, 328, 346, 355, 404, 408
27	10	1	go	99	393	2	B	5, 46, 99, 100, 117, 130, 176, 218, 227, 261, 274, 279, 293, 310, 311, 315, 319, 320, 335, 351, 364, 365, 370, 371, 372, 381, 397
26	14	1	no	87	389	2	B	39, 72, 87, 151, 163, 176, 182, 210, 216, 221, 235, 280, 287, 298, 299, 300, 343, 344, 349, 356, 377, 390, 393, 401, 410, 427
25	14	1	maybe	186	421	9	A	7, 68, 78, 83, 143, 150, 165, 175, 184, 186, 194, 210, 219, 227, 243, 257, 277, 279, 283, 319, 324, 331, 399, 420, 427
24	11	1	now	64	349	1	A	58, 64, 105, 114, 139, 169, 186, 227, 256, 260, 261, 266, 278, 280, 285, 286, 288, 305, 311, 320, 335, 371, 372, 406
24	11	1	that	60	371	1	B	55, 60, 74, 86, 88, 113, 148, 149, 164, 213, 227, 275, 278, 279, 280, 287, 314, 316, 377, 401, 403, 407, 409, 425
24	1	1	zermatt	338	410	1	B	8, 102, 104, 106, 145, 175, 201, 204, 205, 206, 227, 234, 245, 261, 262, 263, 266, 274, 280, 281, 297, 338, 369, 417
23	23	1	so	33	399	1	B	29, 33, 41, 42, 55, 58, 59, 61, 71, 81, 141, 160, 172, 213, 217, 246, 278, 302, 305, 308, 329, 389, 427
21	1	1	let	239	323	1	A	89, 129, 140, 142, 148, 168, 174, 188, 218, 231, 239, 270, 275, 279, 305, 309, 310, 311, 397, 406, 411
20	2	1	luzern	182	233	6	B	103, 108, 109, 112, 145, 181, 182, 197, 199, 201, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335
20	6	1	submit	84	360	1	A	71, 75, 84, 85, 139, 140, 168, 169, 170, 171, 214, 240, 305, 307, 328, 359, 360, 385, 429, 430
20	4	1	zurich	125	360	1	A	68, 73, 117, 121, 122, 123, 125, 128, 134, 180, 183, 218, 246, 275, 278, 372, 400, 404, 414, 427
19	3	1	basel	278	311	1	A	117, 119, 120, 156, 157, 186, 189, 227, 229, 250, 277, 278, 327, 328, 354, 374, 376, 404, 427
19	5	1	bern	167	264	6	B	95, 97, 98, 112, 115, 154, 167, 184, 185, 194, 223, 224, 225, 227, 247, 325, 343, 355, 358
19	9	1	here	89	342	3	B	24, 66, 79, 89, 147, 152, 231, 244, 256, 258, 279, 283, 309, 311, 332, 333, 351, 363, 365
19	15	1	you	21	400	1	B	20, 21, 33, 34, 35, 54, 58, 81, 97, 112, 151, 157, 162, 168, 176, 212, 287, 381, 419
18	16	1	oh	282	304	14	B	26, 36, 40, 59, 62, 63, 80, 141, 151, 172, 205, 242, 271, 278, 282, 306, 316, 329
17	3	1	gallen	17	375	2	A	9, 14, 17, 42, 68, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371, 383
17	4	1	n't	212	381	10	B	39, 72, 73, 75, 116, 164, 190, 200, 203, 205, 212, 221, 229, 388, 389, 416, 419
16	14	1	um	47	364	1	B	4, 47, 49, 88, 93, 195, 206, 210, 231, 273, 278, 289, 315, 330, 338, 367
15	3	1	try	87	335	1	B	77, 87, 113, 117, 142, 148, 174, 185, 229, 239, 270, 275, 368, 406, 411
15	10	1	wait	274	355	10	B	48, 61, 69, 72, 82, 84, 85, 202, 203, 205, 274, 349, 362, 366, 402
14	1	1	t	132	367	1	A	16, 42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371, 382
13	1	1	neuchatel	380	294	4	B	120, 189, 229, 231, 254, 255, 286, 288, 290, 310, 311, 380, 413
13	3	1	think	72	404	1	A	22, 72, 73, 139, 162, 164, 168, 183, 237, 268, 278, 334, 425
12	6	1	the	20	391	1	A	11, 20, 52, 53, 54, 97, 162, 278, 304, 334, 373, 401
11	11	1	is	72	371	4	A	37, 52, 53, 60, 72, 73, 74, 172, 278, 388, 407
11	8	1	or	122	131	2	B	98, 112, 122, 123, 146, 149, 181, 209, 219, 227, 228
11	11	1	press	75	398	1	A	33, 75, 84, 85, 140, 171, 200, 328, 385, 429, 430
10	10	1	from	134	368	2	A	60, 89, 134, 143, 175, 245, 274, 331, 399, 427
10	8	1	one	52	412	1	B	10, 52, 101, 168, 181, 210, 240, 395, 401, 421
9	1	1	're	268	252	2	B	141, 157, 268, 280, 308, 327, 329, 357, 392
9	3	1	interlaken	257	287	2	B	98, 227, 257, 261, 310, 311, 346, 350, 384
8	8	1	a	33	287	1	B	30, 33, 43, 60, 205, 278, 279, 316
8	5	1	again	272	261	7	B	12, 20, 77, 86, 142, 174, 271, 272
8	8	1	not	35	379	1	B	23, 35, 45, 86, 200, 203, 280, 401
8	8	1	your	49	330	1	B	36, 49, 111, 137, 226, 233, 353, 365
7	4	1	have	55	336	1	A	54, 55, 58, 81, 293, 304, 389
6	4	1	how	318	388	4	B	20, 46, 164, 190, 318, 407
6	3	1	should	94	163	3	A	7, 71, 78, 94, 105, 169
6	6	1	this	62	373	3	A	34, 35, 52, 62, 231, 406
6	4	1	view	36	21	2	A	34, 35, 36, 52, 53, 54
5	4	1	because	210	96	1	B	205, 210, 278, 279, 300
5	2	1	can	168	184	3	A	34, 35, 139, 168, 217
5	3	1	click	30	16	1	A	28, 29, 30, 31, 43
5	5	1	done	366	99	4	A	268, 296, 327, 357, 366
5	3	1	drag	30	16	1	A	28, 29, 30, 32, 43
5	2	1	know	339	289	4	B	51, 116, 190, 229, 339
5	5	1	more	212	228	1	B	168, 212, 217, 300, 395
5	3	1	tracks	34	158	2	B	5, 20, 34, 35, 162
5	5	1	wanna	212	116	4	B	97, 112, 168, 176, 212
4	1	1	'll	368	317	1	A	87, 183, 368, 403
4	4	1	build	34	14	1	B	30, 34, 35, 43
4	4	1	cost	300	40	1	B	278, 300, 316, 317
4	4	1	get	162	234	1	B	64, 162, 278, 297
4	4	1	hard	172	357	1	A	33, 172, 173, 389
4	4	1	my	271	375	1	A	52, 271, 329, 426
4	4	1	need	48	151	1	A	33, 48, 162, 183
4	2	1	uh	387	188	1	A	204, 261, 387, 391
4	4	1	was	422	147	2	B	278, 421, 422, 424
3	3	1	are	366	48	1	A	334, 366, 381
3	3	1	but	298	4	1	B	297, 298, 300
3	3	1	mountain	278	220	1	A	60, 278, 279
3	1	1	much	318	166	1	B	242, 318, 407
3	3	1	on	217	81	1	A	162, 217, 242
3	3	1	they	334	330	2	B	5, 297, 334
3	3	1	what	205	326	1	A	96, 205, 421
2	2	1	erase	404	2	1	A	403, 404
2	2	1	information	25	2	1	B	24, 25
2	2	1	make	78	59	1	B	20, 78
2	2	1	please	361	5	1	A	357, 361
2	2	1	say	357	346	1	B	12, 357
2	2	1	there	232	23	1	A	210, 232

